# topic | definition | situation | appropriate action | misconception | correction | evidence to check | limitation
[pa-u1]
Product life extension | Keeping usable products in service through appropriate repair or upgrades | A computer works well except for a replaceable faulty keyboard. | Replace or repair the faulty component instead of discarding the entire working system. | Every minor defect requires replacing the whole computer. | Targeted repair can preserve usable equipment and avoid unnecessary waste. | The repaired system meets the required tasks safely and reliably. | Repair is not appropriate when the equipment is unsafe or cannot meet essential requirements.
Green employment | Work that contributes to conserving resources or protecting environmental quality | A training centre considers preparing technicians to maintain solar systems. | Teach the technical, safety and maintenance skills needed for the actual renewable-energy work. | Calling any job green automatically removes the need to examine what it does. | A green-job claim depends on real activities and environmental contributions, not just a label. | The trained work supports safe functioning of the renewable-energy equipment. | Environmental benefits depend on how the work and equipment are actually managed.
[u1-ch1]
Paragraph-level styling | Applying a named set of paragraph properties consistently to whole paragraphs | The body paragraphs of a report need the same line spacing and alignment. | Assign an appropriate shared paragraph style and set its spacing and alignment. | Changing each line with spaces is equivalent to defining paragraph spacing. | Manual spaces do not provide reliable paragraph-level layout properties. | Body paragraphs using the style show the intended alignment and spacing. | Direct-formatting overrides can prevent some paragraphs from following a changed property.
Character-level styling | Applying reusable formatting to selected characters within paragraphs | Technical terms inside several paragraphs need consistent emphasis without changing paragraph layout. | Apply a named character style to the selected technical terms. | Emphasising a few words requires changing the whole page's margins. | Inline text emphasis and page layout are different formatting scopes. | Only the intended terms receive the reusable inline emphasis. | A character style does not define the paragraph's alignment or page dimensions.
Page-level styling | Controlling page size, orientation, margins and related layout through a named style | An appendix needs a landscape page layout while the main report stays portrait. | Use an appropriate landscape page style with a deliberate page-style transition. | Making text smaller changes a portrait page into landscape orientation. | Font size and page orientation are independent settings. | The appendix uses landscape pages while the main report retains its intended layout. | Page-style transitions and breaks must be checked in the final document.
Consistent list styling | Defining reusable numbering or bullet formatting for lists | Several procedure lists use inconsistent bullet shapes and indentation. | Apply a suitable common list style and inspect the list structure. | Typing a bullet symbol at the start of every line creates a fully managed list. | Typed symbols alone do not supply the behaviour of a structured list. | Equivalent list levels use the intended bullets and indentation. | A common appearance does not establish that the list's logical levels are correct.
Modifying a shared style | Updating a named style so content using it can inherit revised properties | All section headings must switch to a new font without editing each heading separately. | Modify the shared heading style and inspect affected headings for overrides. | Changing one manually formatted heading necessarily updates every similar-looking heading. | Similar appearance does not mean paragraphs share an applied style. | Headings assigned to the revised style inherit its new font where not overridden. | A style change does not automatically affect content assigned to another style.
Creating a style from selection | Capturing suitable formatting from an example into a reusable named style | A teacher approves a sample paragraph and wants the same formatting reused elsewhere. | Create a paragraph style from the formatted example, name it clearly and apply it to matching content. | Naming a style alone copies formatting from every paragraph in the document. | The selected example and chosen style family determine what is captured. | Newly styled paragraphs reproduce the relevant properties of the approved example. | The example should be checked before its accidental formatting is propagated.
Fill Format application | Repeatedly applying a selected style to separate suitable targets | A learner needs to apply one style to several non-adjacent paragraphs. | Activate Fill Format for the selected style and apply it to the intended paragraphs, then exit the mode. | Fill Format chooses the correct style automatically for every paragraph's meaning. | The user chooses the style and targets; the tool does not infer document meaning. | The selected targets receive the intended style and unrelated content remains unchanged. | Leaving the mode active can cause accidental application to later clicks.
Direct-formatting overrides | Local formatting that can supersede corresponding properties of an applied style | One paragraph remains blue after its shared style is changed to black. | Check the paragraph's assigned style and remove an unintended direct colour override. | A paragraph with an applied style cannot contain any local overrides. | Named styles and direct formatting can coexist, with local properties taking precedence. | The paragraph follows the style colour after the unintended override is removed. | Clearing formatting must not remove intentional emphasis without review.
Meaningful style names | Naming reusable formats by their document role to aid selection and maintenance | A report template contains styles named NewStyle1 through NewStyle12 with unclear purposes. | Rename or document the styles according to roles such as Caption or BodyText. | A descriptive style name guarantees that its formatting and use are correct. | Names aid understanding but do not validate a style's properties or assignments. | A user can identify the intended style for a document role without guessing. | Existing assignments and dependencies should be preserved when reorganising styles.
[u1-ch2]
Proportional resizing | Changing image dimensions while preserving the width-to-height ratio | A circular logo becomes oval after it is squeezed into a narrow space. | Resize with the aspect ratio preserved or redesign the surrounding space. | Any width and height combination preserves the original proportions. | Independent unequal scaling can distort the image's original shape. | The resized logo remains circular rather than stretched or flattened. | Proportional scaling alone does not guarantee sufficient image resolution.
Image cropping | Limiting the visible image area by hiding unwanted outer portions | A photograph includes an unwanted border but the central subject should remain visible. | Crop the unwanted edges and inspect the visible subject. | Cropping always removes the hidden pixels irreversibly from the source file. | Cropping in a document can hide areas without permanently editing the original image. | The displayed photograph excludes the border without cutting off required content. | Cropping is not a reliable method of securely erasing confidential image content.
Embedding an image | Storing image data within the document rather than depending on a separate source path | A one-file report must show its diagrams on a receiver's computer without accompanying image files. | Embed the required images and test the sent document independently. | A link to the author's private desktop file travels with all the image data. | A link can store a path without embedding the actual image content. | The document displays its diagrams when the original image folder is unavailable. | Embedding can increase document size and does not prove permission to use the image.
Linking an image | Referencing image data stored in an external file location | A publication uses an approved image file maintained separately and accessible to its editors. | Maintain the linked source and valid path, and verify updates from the approved file. | A linked picture remains reliable after its only source file is deleted. | The document depends on an accessible source when the image is linked. | The publication retrieves the intended image from its maintained source location. | Links may break when files move or recipients lack access.
Anchoring as character | Placing an image in the text flow as if it were a character | A small symbol must sit within a sentence and travel with that sentence during editing. | Use an As Character anchor and adjust its alignment within the line. | An image fixed to a page necessarily follows the sentence that mentions it. | A page attachment and an inline text-flow attachment have different movement behaviour. | The symbol moves with the surrounding sentence when earlier text is inserted. | A large inline image can increase line height or change pagination.
Paragraph attachment | Tying an image's placement to a particular paragraph | A diagram should remain associated with its explanation when earlier paragraphs are inserted. | Anchor it to the intended paragraph and test its position after text edits. | The nearest-looking paragraph is always the actual anchor paragraph. | Visual proximity is not proof of which paragraph owns the anchor. | Editing above the explanation preserves the intended diagram-paragraph association. | Anchoring does not itself decide how text wraps around the picture.
Text wrapping | Controlling how surrounding text occupies space around an image | A photograph covers words in a newsletter instead of letting text flow beside it. | Choose an appropriate wrap setting and inspect the resulting text flow. | Changing the picture's filename is enough to change how nearby text wraps. | Wrapping is a document layout property, not a consequence of the source filename. | The required text remains readable and flows in the intended region around the picture. | A chosen wrap may need adjustment when the picture size or page width changes.
Stacking order | Controlling which overlapping drawing object appears in front | A label is hidden behind an overlapping coloured rectangle. | Bring the label forward or send the rectangle backward as required. | Objects with the same anchor must always have the same front-to-back order. | Anchor references and stacking order control different aspects of object placement. | The label is visible above the rectangle without moving the intended layout. | Bringing an object forward can obscure other content and must be checked.
Grouping objects | Treating selected drawing objects as a unit for common transformations | A flowchart's boxes and arrows separate when the designer moves only one box. | Group the intended objects before moving the complete diagram. | Grouping proves that every arrow represents a logically correct connection. | Grouping controls joint handling, not the correctness of the diagram's meaning. | Moving the group preserves the relative arrangement of its selected components. | The user must select the correct members before grouping.
[u1-ch3]
Heading hierarchy for contents | Using logical heading or outline levels as input to an automatic contents list | A report's section titles are bold but do not appear in its generated contents list. | Assign appropriate heading or outline levels and update the contents list. | Bold appearance alone guarantees inclusion in every automatic table of contents. | Visual emphasis is not necessarily a recognised outline assignment. | The contents list includes the intended headings at their appropriate levels. | The table's configured source and included levels must also be correct.
Refreshing a contents list | Regenerating contents entries and page references after document changes | A new page shifts several sections but the contents list still shows old page numbers. | Update the automatic contents list after the layout has changed. | An old page number should be typed over manually instead of updating the generated list. | Manual replacement can conceal the stale generated structure and become wrong again. | Updated entries point to the correct current section pages. | Later edits can make the list stale again, so final output needs a last check.
Contents depth | Choosing which outline levels appear in a generated table of contents | Subsections assigned level 2 are absent from a table configured for level 1 only. | Include the required second level in the table configuration if those subsections belong there. | Every omitted subsection must be promoted to a main heading. | Inclusion settings and the document's genuine hierarchy should be treated separately. | Level-2 entries appear while their parent-child structure remains accurate. | More levels can make a contents list too detailed for its intended audience.
Reusable Writer templates | Providing a standard starting structure and formatting for new text documents | A club creates a fresh meeting report each month using the same layout. | Start each report from an approved Writer template and save a new document. | Using a template means all future reports must contain the same meeting details. | Templates supply reusable structure; each new report still needs its own content. | New reports begin with the agreed layout without overwriting previous meeting records. | Template placeholders must be replaced and the resulting document checked.
Protecting the master template | Keeping a reusable template separate from individual documents based on it | A clerk accidentally saves one customer's personal details into the shared master form template. | Restore a clean template and keep completed customer forms as separate documents. | Customer-specific data belongs permanently in every shared master template. | A reusable master should not unintentionally expose one customer's data to future users. | Creating a new document no longer inserts the previous customer's private details. | Access controls and safe handling are still needed for the completed forms.
Recording review edits | Capturing supported document modifications for later acceptance or rejection | A team needs to review a colleague's wording changes before finalising a policy. | Enable change recording in the agreed copy and review the recorded edits. | Recording changes means every recorded edit has already been approved. | Recording preserves a proposal for review; acceptance is a separate decision. | The reviewer can identify the proposed changes before deciding which to accept. | Some changes or metadata may require additional checks beyond the tracked list.
Resolving a tracked deletion | Accepting or rejecting a recorded proposal to remove content | A reviewer removes a paragraph that the author still considers necessary. | Reject that specific tracked deletion after checking the intended original text. | Rejecting a deletion permanently removes the original paragraph. | Rejecting the removal retains or restores the content that was proposed for deletion. | The required paragraph is present after the deletion proposal is rejected. | Other edits to the same area may still need individual review.
Comments as discussion | Attaching questions or explanations without treating them as the document's final wording | A reviewer wants the author to justify a number without silently replacing it. | Add a precise comment explaining which number needs evidence. | A comment automatically changes the number in the document body. | An annotation discusses content; it does not itself perform the proposed text edit. | The author can identify the questioned value while the body text remains unchanged. | Comments can contain sensitive review information and should be resolved before distribution.
Comparing document copies | Identifying differences between an original document and a separately edited copy | A colleague returns a revised file without a useful account of what changed. | Compare it with the correct original and inspect the reported differences. | A newer filename proves that every difference is an improvement. | Differences must be examined for correctness rather than approved because of recency. | The comparison exposes the changes relative to the intended original version. | Comparison against the wrong baseline can produce a misleading review.
[u2-ch4]
Consolidating ranges | Aggregating values from multiple source ranges using a selected function | A school needs one total for the same categories across three departmental sheets. | Use Consolidate with the appropriate source ranges, function and label matching. | Consolidation can ignore mismatched category labels without affecting totals. | Misaligned sources can combine unrelated values into incorrect totals. | A known category's consolidated total equals the intended source contributions. | A correct setup must still be revisited if source layouts or labels change.
Grouped subtotals | Summarising records by a grouping field within an organised data range | A sales list needs a separate total for each region. | Organise the range by region and apply Subtotals for the required numeric field. | A single grand total shows each region's contribution separately. | Group totals answer a different question from one total for the entire list. | Every region has the expected subtotal based on its own records. | Grouping mistakes or excluded rows can still make a displayed subtotal misleading.
Saved scenarios | Keeping named alternative input sets to compare calculated results | A budget model should switch between low, expected and high attendance assumptions. | Save named scenarios for the attendance-related input cells and compare the results. | A scenario automatically discovers the most profitable combination of all possible inputs. | A scenario stores specified alternatives; it is not an exhaustive optimisation tool. | Switching scenario restores its intended inputs and recalculates the budget result. | Comparisons are only as useful as the assumptions represented by the saved alternatives.
Single-input Goal Seek | Finding one input value that makes a dependent formula approach a specified target | A fixed-price ticket model needs the attendance that produces a target revenue. | Set the revenue formula cell, desired revenue and attendance variable in Goal Seek. | Goal Seek must change several independent input cells simultaneously. | Standard Goal Seek adjusts one selected variable cell for its target formula result. | The proposed attendance produces the target or an acceptably close result in the formula. | A numerical result may violate practical requirements such as whole-number attendance.
Constrained optimisation | Seeking the best objective value while respecting variable limits | A workshop must choose two product quantities within labour and material capacities. | Use Solver with a profit objective, both quantities and the relevant constraints. | Maximising the displayed profit alone guarantees that resource limits are obeyed. | Constraints must be represented explicitly and checked against the returned solution. | The proposed quantities satisfy each resource limit while achieving the reported objective. | The model and solver method affect which solutions can be found and trusted.
Formula dependency | The relationship through which a formula result responds to an input cell | A Goal Seek run changes B2 but its result formula refers only to C2. | Choose the actual dependent input or correct the formula reference before retrying. | Any cell can control any formula merely by being selected as a variable. | The result must depend directly or indirectly on the chosen variable. | A controlled change in the selected input changes the intended formula result. | Dependency alone does not guarantee that the chosen target is reachable.
Checking boundary constraints | Testing whether an analytical result respects its stated limits | Solver reports 12.5 chairs even though only whole chairs can be produced. | Add the appropriate integer condition and verify the revised feasible solution. | A fractional production quantity is always acceptable if profit is higher. | The model must reflect whole-item requirements when fractional production is impossible. | All returned production quantities are whole numbers and satisfy the remaining constraints. | Adding constraints may reduce the achievable objective or make the model infeasible.
Choosing an aggregation function | Selecting a summary calculation suited to the analytical question | A teacher wants the average score across comparable values, not their combined total. | Select an averaging method and check what values and counts it uses. | SUM and AVERAGE answer the same question whenever the data are numeric. | A total and a mean are different quantities except in special cases. | A small known test range produces the manually expected mean. | Averaging precomputed group means can be wrong when group sizes differ.
Verifying what-if assumptions | Checking whether model inputs and results remain meaningful in the real situation | A price scenario predicts revenue but assumes demand never falls when price rises. | State that assumption and test realistic demand alternatives before drawing conclusions. | A spreadsheet's recalculated output proves that every business assumption is true. | Calculation checks arithmetic relationships, not the truth of the model's assumptions. | The comparison includes plausible demand changes and documents its assumptions. | Uncertain future behaviour cannot be eliminated simply by adding more scenarios.
[u2-ch5]
Recording a repeatable sequence | Capturing supported application actions for later automated execution | An operator repeatedly applies the same border and number format to monthly tables. | Record the intended supported formatting steps and save the macro under a clear name. | Recording is useful only for actions that have never been performed before. | Repeated predictable actions are particularly suitable candidates for automation. | A test run reproduces the intended border and number formatting. | A recorder may not support every action or generalise to every starting state.
Defining a starting state | Specifying the selection and conditions a macro expects before it runs | A formatting macro works on one selected range but changes the wrong area when run elsewhere. | Establish or set the intended starting selection and revise the recorded references if necessary. | A recorded macro always infers which cells the user meant. | Automated instructions depend on their references and starting assumptions. | Tests from documented starting conditions affect only the intended range. | A documented precondition is ineffective if users ignore or cannot satisfy it.
