# Authored MCQs: question | correct option | distractor | distractor | distractor | explanation
[pa-u1]
What does sustainable development protect alongside present needs? | The ability of future generations to meet their needs | Unlimited use of every resource today | Only one company's annual sales | The removal of all economic activity | Sustainability balances current development with future resource and well-being needs.
Which school decision best supports both economy and environment? | Repairing serviceable computers before replacing them | Replacing all computers for a new colour | Printing blank sheets for decoration daily | Leaving unused equipment powered overnight | Repair can extend product life, reduce waste and avoid unnecessary expense.
Which community practice supports sustainable development? | Collecting rainwater appropriately for suitable uses | Wasting fresh water because rain may return | Burning mixed plastic waste | Discarding repairable equipment immediately | Rainwater harvesting is an example of conserving resources; construction and use must follow suitable local guidance.
[u1-ch1]
Which style type formats an entire paragraph, including its alignment and spacing? | Paragraph style | Character style | Frame style | Page style | Paragraph styles apply paragraph-level properties and can also define text formatting.
Which style type is suitable for consistently emphasising a few words within a paragraph? | Character style | Page style | Table style | Frame style | Character styles apply to selected characters without changing the whole paragraph layout.
Which style controls page margins and page orientation? | Page style | Character style | List style | Frame style | Page styles manage page-level layout such as margins, size and orientation.
What is the main benefit of modifying a style used by many paragraphs? | Consistent changes can propagate to those paragraphs | All paragraphs become images | The document must be retyped | Every hyperlink is deleted | Shared styles reduce repetitive manual formatting; direct overrides may need clearing.
Which Writer style type manages the formatting of numbered or bulleted lists? | List style | Page style | Character style | Frame style | List styles define numbering or bullet appearance and arrangement.
What does Fill Format mode help a user do? | Apply a selected style repeatedly to different targets | Fill every page with an image | Calculate a column total | Merge database records | Fill Format makes repeated application of the same style convenient.
Why is naming a custom style 'ReportHeading' more useful than 'Style17'? | The name describes its intended role | It increases the computer's RAM | It encrypts the document | It forces a specific paper size | Meaningful names make style selection and later maintenance easier.
What should be selected before creating a character style from a formatted example? | The formatted characters | The entire hard drive | The printer queue | A database table | The example selection supplies the character formatting to be captured.
Which action is direct formatting rather than applying a named style? | Selecting text and clicking Bold | Choosing Heading 1 from the Styles panel | Applying a custom paragraph style | Choosing a named character style | Direct formatting changes the selected content locally instead of assigning a reusable style.
A heading retains a manually applied red colour after a style colour is changed. What is the likely cause? | Direct formatting is overriding the style property | The keyboard has stopped working | The text has become a database field | The document has no pages | Local formatting can override corresponding properties inherited from a style.
[u1-ch2]
What does cropping an image do? | Hides unwanted outer portions from view | Changes the document language | Adds a database record | Converts every pixel to text | Cropping adjusts the visible image area rather than simply changing its overall display size.
Which operation changes an image's displayed width and height? | Resizing | Spell checking | Sorting | Querying | Resizing changes display dimensions; keeping the aspect ratio avoids distortion.
Why should the aspect ratio be preserved when resizing a photograph? | To prevent stretching or squashing | To make the source file executable | To remove its anchor | To turn it into a template | Preserving the width-to-height ratio maintains the original proportions.
What does an image's anchor determine? | The document position or object to which it is attached | The spelling language of nearby text | The printer ink level | The database connection | The anchor ties the image's placement to a page, paragraph, character or other supported reference.
Which setting determines how text flows around an image? | Wrap | Zoom | Track Changes | Spellcheck | Wrapping controls the relationship between surrounding text and the image area.
Which arrangement operation puts one overlapping object behind another? | Send backward | Increase font size | Insert comment | Update index | Arrangement changes stacking order rather than the image's anchor or text wrap.
What happens when several drawing objects are grouped? | They can be moved or resized together as a group | They become separate database records | Every object loses its colour | They are automatically deleted | Grouping treats selected objects as a unit for common positioning operations.
Which choice is best for an image that should behave like a text character in a line? | Anchor as character | Anchor to page | Delete the anchor | Store as a macro | As Character makes the image participate in the text line's flow.
Which image arrangement is more portable when emailing a single document? | Embedding the image in the document | Linking to a local file not sent with it | Linking to a private desktop folder | Deleting the source before saving a link | Embedding stores image data inside the document instead of depending on an external file path.
Which image-wrapping feature follows an irregular outline rather than only a rectangle? | Contour wrapping | Page numbering | Text sorting | Version comparison | A contour defines the outline around which the text can flow.
[u1-ch3]
Why might a table of contents omit a title that looks large and bold? | The title lacks an appropriate heading or outline assignment | The title contains too many vowels | The document uses portrait orientation | The printer is disconnected | Visual formatting alone does not necessarily give a paragraph a recognised outline level.
After inserting a new section into a report, what should be done to its automatic ToC? | Update the table of contents | Type all page numbers over it manually | Delete every heading style | Convert the whole report to an image | Updating regenerates the entries and page numbers from the current document structure.
Which file type is intended as a reusable Writer template? | .ott | .odb | .ods | .csv | .ott stores a Writer template used as the starting point for new documents.
What is a benefit of creating a document from a template? | It starts with a consistent reusable structure and formatting | It cannot be edited | It contains no styles | It deletes the template automatically | Templates provide a repeatable starting point while allowing each new document to contain different content.
What is the purpose of recording changes? | To preserve supported edits for later review | To record microphone audio | To encrypt all paragraphs | To prevent every edit | Tracked changes allow reviewers to inspect and accept or reject recorded edits.
What happens when a tracked deletion is rejected? | The deleted content is retained or restored | The whole document is removed | The file becomes a spreadsheet | The document language changes | Rejecting a proposed deletion means keeping the original content.
Which feature is best for asking a reviewer why a paragraph was changed? | Comment | Page border | Mail merge | Image crop | Comments attach discussion or explanations without being the proposed edit itself.
Which action is appropriate before distributing a final reviewed document? | Review remaining tracked edits and resolve comments as needed | Assume all pending edits are already approved | Delete all headings | Change the extension without saving | Pending edits and review notes should be checked before the final version is shared.
Which tool helps identify differences between an original document and an edited copy? | Compare documents | Count database records | Consolidate ranges | Goal Seek | Document comparison can expose edits between versions for review.
Which heading hierarchy is normally sensible in a structured report? | Heading 1 for main sections and Heading 2 for subsections | Every paragraph as Heading 1 | Subsections always above their parent level | All headings replaced by manual spaces | A consistent hierarchy represents the document's logical organisation.
[u2-ch4]
Which Calc feature combines values from several ranges using a function such as SUM? | Consolidate | Spellcheck | Track Changes | Insert Comment | Consolidate aggregates data from specified source ranges.
Which feature creates grouped summaries such as totals for each department? | Subtotals | Hyperlink | Find and Replace | Image Crop | Subtotals summarise data for groups, commonly after organising it by the grouping field.
What does a saved scenario contain? | A named set of input values for selected cells | A recorded voice message | Only the print margins | A database relationship | Scenarios store alternative input sets for comparing formula results.
In Goal Seek, which cell must contain a formula? | Formula cell | Target-value input box | Every blank cell | The sheet tab | Goal Seek evaluates the formula cell while changing one variable cell to approach the target value.
A formula is =B1*20. What value should Goal Seek find for B1 if the target is 100? | 5 | 20 | 80 | 120 | Solving B1 times 20 equals 100 gives B1 equal to 5.
Which tool is suitable for maximising profit with several variable cells and resource limits? | Solver | Scenario name box | Insert Hyperlink | Freeze Rows | Solver works with an objective, variable cells and constraints.
Which item is a Solver constraint? | Production quantity must be at most 100 | The worksheet tab must be green | A cell must be displayed at 125% zoom | The toolbar must be hidden | A constraint restricts permissible values in the optimisation problem.
Which comparison correctly distinguishes Scenarios from Goal Seek? | Scenarios compare input sets; Goal Seek finds one input for a target output | Scenarios only print; Goal Seek only spells words | Both always change all worksheet cells | Goal Seek needs no formula | The tools answer different what-if questions: compare alternatives versus work backward from a desired result.
Why should consolidation source ranges be checked before calculation? | Labels and layouts must match the intended aggregation method | Every source must be an image | All formulas must first be deleted | Every file must use a different currency | Incorrect alignment or labels can aggregate unrelated values into misleading totals.
A Goal Seek attempt fails because the formula does not use the variable cell. What should be checked? | The formula's dependency on the selected variable | The page border colour | The document's spelling dictionary | The mouse pointer theme | Changing a cell cannot affect a result if the formula has no dependency on it.
[u2-ch5]
What is a macro? | A stored sequence of instructions used to automate tasks | A database primary key | A page orientation | A printed table of contents | Macros automate repeated operations, often through recorded or written instructions.
Which task is most suitable for a simple recorded macro? | Applying the same supported formatting sequence repeatedly | Judging every customer's emotions | Physically repairing a keyboard | Replacing a damaged power cable | Repetitive, predictable software steps are good candidates for automation.
What should be done after completing the actions to be captured by a macro recorder? | Stop recording and save the macro with a suitable name | Keep recording unrelated work indefinitely | Delete the document immediately | Disable every security setting | Stopping limits the macro to the intended sequence and saving makes it reusable.
Why should a recorded macro be tested on a copy of important data? | It may affect unintended cells or repeat an error | Copies automatically remove all bugs | A macro cannot access copied files | Testing guarantees all future results | A copy reduces risk while checking the macro's actual effect.
Which statement about macro recording is correct? | Not every application action is supported by the recorder | It records every physical mouse movement as a video | It always produces a perfect program | It never depends on the starting selection | Recording support has limits, so a macro must be tested rather than assumed complete.
What is a macro parameter? | An input value supplied to the procedure or function | The computer's power switch | A printed page margin | A database relationship line | Parameters let reusable code operate on supplied values.
What distinguishes a function from a procedure that only performs actions? | A function returns a value to its caller | A function must draw a chart | A function cannot accept input | A function deletes its arguments | Functions calculate or produce a return value, which can be used in another expression.
In a Calc formula using a custom function, what do the arguments represent? | Inputs passed to the function | Names of all installed printers | The workbook's page count | Comments from every reviewer | Arguments provide the values on which the function operates.
An unknown workbook asks you to enable macros to view a prize. What is the best response? | Keep macros disabled and verify the source | Enable them because all spreadsheets are safe | Disable antivirus first | Share the workbook with passwords attached | Macros can execute harmful code; a prize claim does not establish trust.
Why choose a descriptive macro name such as FormatInvoice? | It makes the macro's intended task easier to identify | It guarantees the macro has no errors | It encrypts every worksheet | It enables all macros globally | Naming supports maintenance but does not replace testing or security checks.
[u2-ch6]
Which Calc formula refers to cell A1 on Sheet2 in the same document? | =Sheet2.A1 | =Sheet2:A1 | =Sheet2/A1 | =A1(Sheet2) | Calc uses a dot between the sheet name and cell reference in this notation.
Why may a sheet name need single quotes in a formula reference? | The name contains spaces or special characters | Every sheet name is a password | The sheet is always read-only | Quotes make the number absolute | A reference such as ='Annual Sales'.A1 quotes a sheet name containing a space.
What is a useful reason to rename a Calc sheet? | Make its data or purpose easier to identify | Convert it automatically into a database | Remove every formula dependency | Guarantee all links remain correct after any edit | Meaningful sheet names help organise multiple sheets; existing references still need checking.
Which source is outside the current spreadsheet document? | A range in a different saved Calc document | A cell on the current sheet | Another sheet in the same workbook | A comment attached to the active cell | Referencing another document creates an external dependency and requires the correct accessible source.
Why register an appropriate data source for use with Calc? | Make the source available through the supported data-source workflow | Turn every worksheet into an image | Replace all field names with page numbers | Guarantee that the source can never change | Registered data sources support integration; users must still select and check the intended data.
What does a hyperlink primarily do? | Opens or navigates to a target resource or location | Automatically totals a range | Creates a primary key | Records every edit | Hyperlinks navigate; formulas retrieve or calculate values.
Which is an absolute file hyperlink? | A link storing the full location of its target file | A link defined only relative to the source folder | A formula with no equals sign | A link that can never break | An absolute file path specifies a full location but may break if that target moves.
What must remain unchanged for a relative file link to survive moving a project folder? | The relative arrangement of the source and target | The computer's wallpaper | The printer's name | Every file's creation date | Relative links depend on the relationship between file locations, not the project's original root path.
What should you check when a linked external data source has changed? | Whether the link should be refreshed from a trusted source | Whether every sheet must be deleted | Whether all cell styles must be removed | Whether the monitor is switched off | External values may require updating, and source trust matters before accepting changes.
Which shortcut normally opens the Hyperlink dialog in Calc? | Ctrl+K | Ctrl+B | Ctrl+P | Ctrl+Z | Ctrl+K opens hyperlink insertion or editing; the other shortcuts perform different tasks.
[u2-ch7]
Why enable spreadsheet sharing? | To support collaboration by multiple users under the supported sharing workflow | To turn formulas into images | To make all edits anonymous automatically | To guarantee that conflicts never occur | Sharing supports collaboration, but concurrent edits still require careful handling.
What is an editing conflict? | Two incompatible edits affect the same data during collaboration | Two users choose the same screen brightness | A worksheet uses two font sizes | A table contains both numbers and text | Conflicts arise when different edits cannot both be applied as intended.
Which feature logs supported edits for review in Calc? | Record Changes | Goal Seek | Consolidate | Page Preview | Change recording tracks supported modifications so they can later be reviewed.
How does a comment differ from a recorded change? | A comment is an annotation, while a recorded change represents an edit | Comments always replace formulas | Recorded changes are audio files | Comments automatically approve every edit | An annotation explains or discusses data; tracking records the modification itself.
Before accepting another user's changed sales value, what should a reviewer do? | Verify it against the source evidence | Accept it merely because it is newer | Reject it because the font differs | Delete the entire worksheet | Review decisions should be based on reliable information, not just recency.
Which activity is a sensible preparation before merging reviewed copies? | Keep a backup and identify the original and reviewed versions | Rename all files identically and delete backups | Remove all reviewer names without checking | Disable all formulas permanently | Clear version identification and backups protect against accidental loss or confusion.
What does rejecting a tracked change generally mean? | Not applying the proposed edit and retaining the prior content | Approving every future change | Locking the keyboard | Converting the file to a template | Rejection reverses or declines that proposed change in the review workflow.
Which information helps identify who made a tracked edit? | Reviewer or author information associated with the change | The monitor's serial number | The paper tray capacity | The mouse pointer size | Change metadata can help reviewers attribute edits and request clarification.
Why should a shared spreadsheet not be treated as a substitute for access control? | Sharing alone does not determine who should be trusted with sensitive data | Sharing automatically encrypts every copy | Sharing removes all confidentiality obligations | Sharing prevents screenshots | Permissions and careful data handling remain necessary during collaboration.
What is a sensible final step after resolving review conflicts? | Save and verify the agreed version, then communicate which copy is final | Distribute every conflicting copy without explanation | Delete source evidence | Assume unsaved edits are permanent | A verified final version prevents people from continuing with inconsistent copies.
[u3-ch8]
Which statement describes data rather than information? | A list of unprocessed daily sales values | A conclusion that sales rose 10% this month | A summary identifying the best-selling product | A report explaining a seasonal trend | Data are raw facts; information is data processed or interpreted in a useful context.
In a relational table, what is a record? | A row describing one entity instance | A column's data type only | The name of the database software | A toolbar button | A record holds related field values for one instance, such as one student.
What is a field in a table? | An attribute represented by a column | The whole collection of tables | Every row combined into a report | A saved macro | Fields represent attributes such as StudentID or Name.
A table has 6 columns and 25 rows. What is its degree? | 6 | 25 | 31 | 150 | Degree counts columns; cardinality counts rows.
Which key is selected to uniquely identify records? | Primary key | Foreign key | Page key | Sort direction | A primary key is the chosen unique, non-null record identifier.
Can a table's primary key consist of more than one field? | Yes, it can be a composite key | No, it must always be one integer | Only if all fields are empty | Only in a printed report | A combination of fields can identify a record uniquely.
Which is a candidate key? | A minimal set of fields capable of uniquely identifying a record | Any field containing duplicate names | Any empty column | A temporary chart title | Candidate keys are possible primary keys; each is minimal and unique.
What does data redundancy mean? | Unnecessary repetition of the same data | A unique record identifier | A properly documented field name | A sorted query result | Redundant copies may waste storage and lead to inconsistent updates.
Which database object retrieves selected information using criteria? | Query | Form label | Page style | Macro recorder | Queries select, combine or summarise data based on requirements.
Which database model organises data as linked tables? | Relational model | Hierarchical model only | Single-image model | Slide model | Relational databases represent data in relations, commonly described as tables.
[u3-ch9]
Which field type is suitable for a person's name? | Text or VARCHAR | Date only | Boolean only | Integer only | Names are character strings and may contain spaces or punctuation.
Which field type best fits a yes/no value such as FeePaid? | Boolean | Date | Long text | Image | Boolean fields represent two logical states such as true and false.
Why should a phone number often be stored as text rather than as an arithmetic number? | It may contain leading zeros or a plus sign and is not used for arithmetic | Text always takes less storage | Numbers cannot be searched | Phone numbers must contain letters | An identifier's formatting should be preserved, and arithmetic is not meaningful for it.
Which field property supplies an initial value for new records? | Default Value | Sort Descending | Query Criterion | Page Margin | A default value pre-fills a value, which may be changed unless other rules prevent it.
What does setting Entry Required to Yes help enforce? | A value must be supplied rather than left null | Every value is automatically unique | The value must be positive | The field must be the primary key | Requiredness prevents missing values but is distinct from uniqueness or range validation.
What is the purpose of AutoValue for a suitable integer key field? | Generate an identifier automatically for new records | Store a photograph | Sort every name alphabetically | Fill all text fields with the same name | An auto-generated identifier helps create unique key values without manual numbering.
Which method gives direct control over field names, types and properties? | Create Table in Design View | Print Preview | Report Wizard only | Image Gallery | Table Design View exposes the structure and properties of fields.
What should be done before deleting a table used by other objects? | Back up data and check dependencies | Assume reports contain independent copies of everything | Delete every backup first | Rename the monitor | Queries, forms and relationships may rely on that table, and deletion may destroy data.
Which operation arranges records by increasing Marks without necessarily removing any? | Sort ascending on Marks | Delete all records | Change every Marks value to zero | Drop the table | Sorting changes presentation order, not the stored meaning of each record.
Why choose a Date type rather than plain text for DateOfBirth? | It supports meaningful date validation and date operations | It guarantees no person can share a birthday | It stores only the current date | It disables sorting | A date type represents dates consistently and supports date-aware operations.
[u3-ch10]
A department has many employees, while each employee belongs to one department. What is the relationship? | One-to-many | One-to-one | Many-to-many in both directions | No relationship is possible | One parent department can relate to multiple child employee records.
Which structure resolves a many-to-many relationship between students and courses? | An enrolment table containing student and course keys | One comma-separated list in every student's name | A separate picture of each timetable | A page style | A junction table represents each student-course association as a record.
Where is the foreign key normally placed in a one-to-many class-student relationship? | In the student table on the many side | Only in a printed report | In every page header | In the database filename | Each student record stores the key of its related class.
What does referential integrity prevent for a non-null foreign key? | Referring to a parent key that does not exist | Storing two students in the same class | Sorting a table | Creating a form | Referential integrity keeps references valid between related tables.
What is the purpose of update cascade? | Propagate a changed parent key to matching child references | Change every text field to uppercase | Delete all unmatched reports | Sort the parent table | Cascading updates maintain references when an allowed referenced key changes.
Why must delete cascade be used cautiously? | Deleting a parent can also delete related child records | It only changes the display colour | It prevents every future backup | It converts keys into images | Cascading deletion can remove more records than the one directly selected.
Which relationship best fits people and their currently assigned unique lockers when each has at most one? | One-to-one | One-to-many from one person to many lockers | Many-to-many | An automatic three-way relationship | Under the stated rule, one person relates to at most one locker and vice versa.
What should be checked before linking a primary key to a foreign key? | Compatible field types and valid existing values | Identical font colours | Matching page margins | Equal numbers of rows in both tables | Database engines require compatible key fields, and existing child references must be valid.
Why store a teacher's name once in a related CLASS table rather than repeating it for every student? | It reduces redundant data and inconsistent updates | It prevents students from sharing a class | It removes all need for primary keys | It guarantees the teacher never changes | Normalised related data centralises facts that should be updated consistently.
What does a composite primary key of StudentID and CourseID prevent in an enrolment table? | Duplicate enrolments for the same student-course pair | A student taking different courses | A course having different students | All new enrolments | The pair must be unique, while either individual field can repeat.
[u3-ch11]
Which part of a Base query specifies the conditions records must meet? | Criteria | Report title | Form background | Table filename | Query criteria restrict results to the records relevant to the question.
Which condition selects marks of at least 60? | Marks >= 60 | Marks > 60 | Marks = 59 | Marks < 60 | At least includes 60 as well as higher values.
Which operator requires both conditions to be true? | AND | OR | Descending sort | Visible/Show | AND combines conditions by requiring each one to hold.
Which operator includes records satisfying either of two conditions? | OR | AND | Ascending sort | Report title | OR allows a record when at least one condition is true.
Which Sort setting displays the highest Marks first in query output? | Descending on Marks | Ascending on Marks | No sort on every field | Sort only by an unrelated field | Descending order arranges the qualifying marks from high to low.
Which query calculation is suitable for finding a total of numeric amounts? | Sum | A picture caption | A field’s font colour | A page margin | A sum adds the intended numeric values; verify the included records and source data.
Which calculation finds the arithmetic mean of the specified complete numeric scores? | Average | Maximum | Minimum | Sum alone | The average uses the total and count of the included scores; check which records are included.
In Base graphical criteria using * as the multiple-character wildcard, which pattern matches names beginning with R? | R* | *R | ?R | R? | R* keeps the initial R and permits any following character sequence. Use the wildcard notation supported by the query interface.
A field is needed as a filter but should not be displayed in a Base query result. What should be adjusted? | Clear its Visible/Show setting while retaining its criterion | Delete the source column from the table | Erase every value in the field | Rename the database to hide it | Query output visibility and filtering have separate purposes; the field can supply a criterion without being displayed.
What does running a retrieval query normally do? | Displays the records selected by the query without changing their stored values | Deletes every nonmatching source row | Replaces every source name | Removes the database file | Query results are a selected view of data; nonmatching records remain in the source table.
[u3-ch12]
Which object provides a user-friendly interface for entering student records? | Form | Report only | Page style | Image gallery | Forms expose controls bound to data fields for viewing or editing records.
Which object is intended for a formatted printable summary of database data? | Report | Macro parameter | Relationship line | Table field type | Reports present data with layout, grouping and summaries suited to reading or printing.
Which form control displays fixed explanatory text? | Label | Data-bound text box | Check box | Record navigator | A label identifies or explains a field; it does not itself store the entered record value.
Which control is suitable for a yes/no field such as ConsentGiven? | Check box | Static label | Image border | Page header | A check box provides a natural representation of a Boolean value.
Why use a list box for a field with a limited set of valid choices? | It helps users select consistent values | It removes the need for every database rule | It guarantees all choices are correct in every context | It deletes the underlying table | Controlled choices can reduce spelling variations and invalid entries.
What is a subform useful for? | Showing related child records for a parent record | Replacing the operating system | Changing a document's page size | Cropping a table image | A parent form can show one class while a subform displays its students.
What is the effect of grouping a report by ClassID? | Related records are presented together under class groups | All ClassID values are deleted | A primary key is automatically removed | Every class becomes a separate database file | Grouping organises report output for comparison and summaries.
Why include a meaningful title and date on a report? | To identify its purpose and reporting context | To make its figures automatically correct | To prevent all unauthorised access | To replace source validation | A title and date help readers understand what the report covers and when it was produced.
Which source can a report use when only selected records should appear? | A query retrieving those records | Only an image file | Only a blank form | The keyboard driver | A query can supply filtered or calculated data to a report.
Why should a form be tested after its fields and controls are designed? | To verify navigation, saving and validation behaviour | To ensure every user can bypass rules | To replace all backups | To guarantee no future database changes matter | Testing checks that the interface behaves correctly with valid and invalid data.
[u4-ch13]
What is a workplace hazard? | A source or situation with the potential to cause harm | A guarantee that injury has already occurred | A productivity award | An attendance record | A hazard is a potential source of harm; risk considers likelihood and consequences.
